scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF33-AIF67__11,3,0,0.25,0.357966,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF33-AIF67__11,14,0,0.000122,0.000344,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF33-AIF67__11,0,28,0.0,1e-06,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF33-AIF67__11,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF50-AIF50__12,43,45,0.915106,1.0,False
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF50-AIF50__12,9,0,0.003906,0.008678,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF50-AIF50__12,34,2,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF50-AIF50__12,0,42,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF50-AIF50__12,0,1,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF67-AIF33__14,18,50,0.00017,0.000471,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF67-AIF33__14,1,0,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF67-AIF33__14,17,3,0.002577,0.005962,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF67-AIF33__14,0,47,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR100-AIR0-HF67-AIF33__14,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF0-AIF100__6,17,14,0.719438,0.884055,False
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF0-AIF100__6,0,0,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF0-AIF100__6,0,14,0.000122,0.000344,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF0-AIF100__6,15,0,6.1e-05,0.00018,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF0-AIF100__6,2,0,0.5,0.648479,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__8,90,57,0.008307,0.016886,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__8,7,0,0.015625,0.030155,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__8,2,15,0.00235,0.005478,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__8,0,42,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__8,81,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__9,90,57,0.008307,0.016886,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__9,7,0,0.015625,0.030155,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__9,2,15,0.00235,0.005478,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__9,0,42,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF100-AIF0__9,81,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF33-AIF67__6,18,50,0.00017,0.000471,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF33-AIF67__6,8,0,0.007812,0.01591,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF33-AIF67__6,10,7,0.629059,0.783173,False
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF33-AIF67__6,0,42,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF33-AIF67__6,0,1,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF50-AIF50__7,8,59,0.0,0.0,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF50-AIF50__7,5,0,0.0625,0.104728,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF50-AIF50__7,0,14,0.000122,0.000344,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF50-AIF50__7,3,45,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR50-AIR50-HF50-AIF50__7,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF0-AIF100__4,13,12,1.0,1.0,False
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF0-AIF100__4,0,0,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF0-AIF100__4,0,12,0.000488,0.001245,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF0-AIF100__4,12,0,0.000488,0.001245,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF0-AIF100__4,1,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF100-AIF0__10,71,43,0.011446,0.023094,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF100-AIF0__10,7,0,0.015625,0.030155,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF100-AIF0__10,8,10,0.814529,0.976089,False
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF100-AIF0__10,0,33,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF100-AIF0__10,56,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF33-AIF67__4,6,45,0.0,0.0,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF33-AIF67__4,2,0,0.5,0.648479,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF33-AIF67__4,0,10,0.001953,0.004602,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF33-AIF67__4,2,35,0.0,1e-06,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF33-AIF67__4,2,0,0.5,0.648479,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF50-AIF50__4,14,58,0.0,2e-06,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF50-AIF50__4,8,0,0.007812,0.01591,True
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF50-AIF50__4,6,10,0.454498,0.612095,False
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF50-AIF50__4,0,48,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF50-AIF50__4,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF67-AIF33__3,5,37,2e-06,7e-06,True
HR,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF67-AIF33__3,3,0,0.25,0.357966,False
AI-R,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF67-AIF33__3,1,10,0.011719,0.023405,True
HF,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF67-AIF33__3,0,27,1e-06,2e-06,True
AI-F,distilbert__HR100-AIR0-HF0-AIF100__13,distilbert__HR67-AIR33-HF67-AIF33__3,1,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF33-AIF67__11,38,20,0.025601,0.047551,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF33-AIF67__11,1,4,0.375,0.516873,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF33-AIF67__11,13,13,0.844519,1.0,False
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF33-AIF67__11,24,0,0.0,1e-06,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF33-AIF67__11,0,3,0.25,0.357966,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF50-AIF50__12,35,8,7.3e-05,0.000214,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF50-AIF50__12,4,1,0.375,0.516873,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF50-AIF50__12,20,2,0.000121,0.000344,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF50-AIF50__12,11,1,0.006348,0.013456,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF50-AIF50__12,0,4,0.125,0.196441,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF67-AIF33__14,9,12,0.663624,0.82479,False
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF67-AIF33__14,0,5,0.0625,0.104728,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF67-AIF33__14,4,4,1.0,1.0,False
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF67-AIF33__14,5,0,0.0625,0.104728,False
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR100-AIR0-HF67-AIF33__14,0,3,0.25,0.357966,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF0-AIF100__6,68,36,0.002367,0.005513,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF0-AIF100__6,0,6,0.03125,0.056173,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF0-AIF100__6,0,28,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF0-AIF100__6,67,0,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF0-AIF100__6,1,2,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__8,92,30,0.0,0.0,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__8,2,1,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__8,0,27,1e-06,2e-06,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__8,12,2,0.012939,0.025585,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__8,78,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__9,92,30,0.0,0.0,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__9,2,1,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__9,0,27,1e-06,2e-06,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__9,12,2,0.012939,0.025585,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF100-AIF0__9,78,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF33-AIF67__6,25,28,0.78353,0.94624,False
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF33-AIF67__6,6,4,0.753906,0.913508,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF33-AIF67__6,6,17,0.03469,0.062099,False
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF33-AIF67__6,13,3,0.021271,0.040511,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF33-AIF67__6,0,4,0.125,0.196441,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF50-AIF50__7,16,38,0.004267,0.009383,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF50-AIF50__7,4,5,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF50-AIF50__7,0,28,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF50-AIF50__7,12,2,0.012939,0.025585,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR50-AIR50-HF50-AIF50__7,0,3,0.25,0.357966,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF0-AIF100__4,65,35,0.003732,0.008376,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF0-AIF100__4,0,6,0.03125,0.056173,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF0-AIF100__4,1,27,2e-06,9e-06,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF0-AIF100__4,64,0,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF0-AIF100__4,0,2,0.5,0.648479,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF100-AIF0__10,85,28,0.0,1e-06,True
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF100-AIF0__10,4,3,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF100-AIF0__10,7,23,0.00617,0.013274,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF100-AIF0__10,21,2,6.6e-05,0.000193,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF100-AIF0__10,53,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF33-AIF67__4,23,33,0.229102,0.341533,False
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF33-AIF67__4,1,5,0.21875,0.329033,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF33-AIF67__4,1,25,6e-06,2.3e-05,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF33-AIF67__4,19,0,4e-06,1.4e-05,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF33-AIF67__4,2,3,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF50-AIF50__4,15,30,0.036888,0.065549,False
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF50-AIF50__4,5,3,0.726562,0.885307,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF50-AIF50__4,3,21,0.000277,0.00074,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF50-AIF50__4,7,3,0.34375,0.48019,False
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF50-AIF50__4,0,3,0.25,0.357966,False
overall,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF67-AIF33__3,28,31,0.794572,0.956919,False
HR,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF67-AIF33__3,0,3,0.25,0.357966,False
AI-R,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF67-AIF33__3,1,24,1.1e-05,3.7e-05,True
HF,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF67-AIF33__3,26,1,4e-06,1.4e-05,True
AI-F,distilbert__HR100-AIR0-HF100-AIF0__15,distilbert__HR67-AIR33-HF67-AIF33__3,1,3,0.625,0.778565,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF50-AIF50__12,29,20,0.253098,0.361925,False
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF50-AIF50__12,6,0,0.03125,0.056173,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF50-AIF50__12,23,5,0.001315,0.003196,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF50-AIF50__12,0,14,0.000122,0.000344,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF50-AIF50__12,0,1,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF67-AIF33__14,13,34,0.003531,0.007958,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF67-AIF33__14,1,3,0.625,0.778565,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF67-AIF33__14,12,12,1.0,1.0,False
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF67-AIF33__14,0,19,4e-06,1.4e-05,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR100-AIR0-HF67-AIF33__14,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF0-AIF100__6,45,31,0.135908,0.213324,False
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF0-AIF100__6,0,3,0.25,0.357966,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF0-AIF100__6,0,28,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF0-AIF100__6,43,0,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF0-AIF100__6,2,0,0.5,0.648479,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__8,87,43,0.000162,0.000451,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__8,5,1,0.21875,0.329033,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__8,0,27,1e-06,2e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__8,1,15,0.000519,0.001311,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__8,81,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__9,87,43,0.000162,0.000451,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__9,5,1,0.21875,0.329033,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__9,0,27,1e-06,2e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__9,1,15,0.000519,0.001311,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF100-AIF0__9,81,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF33-AIF67__6,12,33,0.002869,0.006576,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF33-AIF67__6,7,2,0.179688,0.27542,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF33-AIF67__6,4,15,0.019211,0.036781,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF33-AIF67__6,1,15,0.000519,0.001311,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF33-AIF67__6,0,1,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF50-AIF50__7,11,51,1e-06,3e-06,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF50-AIF50__7,5,3,0.726562,0.885307,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF50-AIF50__7,0,28,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF50-AIF50__7,6,20,0.010787,0.021826,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR50-AIR50-HF50-AIF50__7,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF0-AIF100__4,41,29,0.188593,0.288663,False
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF0-AIF100__4,0,3,0.25,0.357966,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF0-AIF100__4,0,26,1e-06,4e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF0-AIF100__4,40,0,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF0-AIF100__4,1,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF100-AIF0__10,62,23,3.8e-05,0.000116,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF100-AIF0__10,4,0,0.125,0.196441,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF100-AIF0__10,2,18,0.000402,0.001046,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF100-AIF0__10,0,5,0.0625,0.104728,False
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF100-AIF0__10,56,0,0.0,0.0,True
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF33-AIF67__4,7,35,3.1e-05,9.6e-05,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF33-AIF67__4,2,3,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF33-AIF67__4,0,24,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF33-AIF67__4,3,8,0.226562,0.337979,False
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF33-AIF67__4,2,0,0.5,0.648479,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF50-AIF50__4,8,41,5e-06,1.7e-05,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF50-AIF50__4,6,1,0.125,0.196441,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF50-AIF50__4,2,20,0.000121,0.000344,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF50-AIF50__4,0,20,2e-06,7e-06,True
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF50-AIF50__4,0,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF67-AIF33__3,6,27,0.000499,0.00127,True
HR,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF67-AIF33__3,1,1,1.0,1.0,False
AI-R,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF67-AIF33__3,0,23,0.0,1e-06,True
HF,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF67-AIF33__3,4,3,1.0,1.0,False
AI-F,distilbert__HR100-AIR0-HF33-AIF67__11,distilbert__HR67-AIR33-HF67-AIF33__3,1,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR100-AIR0-HF67-AIF33__14,5,35,5e-06,1.6e-05,True
HR,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR100-AIR0-HF67-AIF33__14,0,8,0.007812,0.01591,True
AI-R,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR100-AIR0-HF67-AIF33__14,1,19,4e-05,0.000123,True
HF,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR100-AIR0-HF67-AIF33__14,3,8,0.226562,0.337979,False
AI-F,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR100-AIR0-HF67-AIF33__14,1,0,1.0,1.0,False
overall,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,60,55,0.709147,0.872395,False
HR,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,0,9,0.003906,0.008678,True
AI-R,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,0,46,0.0,0.0,True
HF,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,57,0,0.0,0.0,True
AI-F,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,3,0,0.25,0.357966,False
overall,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,94,59,0.005983,0.01296,True
HR,distilbert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,3,5,0.726562,0.885307,False
