scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF33-AIF67__11,23,3,0.000194,0.000533,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF33-AIF67__11,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF50-AIF50__12,65,105,0.002779,0.006403,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF50-AIF50__12,4,14,0.030884,0.056173,False
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF50-AIF50__12,46,0,0.0,0.0,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF50-AIF50__12,15,9,0.307456,0.434232,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF50-AIF50__12,0,82,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF67-AIF33__14,37,107,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF67-AIF33__14,1,19,4e-05,0.000123,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF67-AIF33__14,28,0,0.0,1e-06,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF67-AIF33__14,8,7,1.0,1.0,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF67-AIF33__14,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF0-AIF100__6,66,101,0.008513,0.017289,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF0-AIF100__6,0,19,4e-06,1.4e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF0-AIF100__6,3,3,1.0,1.0,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF0-AIF100__6,63,0,0.0,0.0,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF0-AIF100__6,0,79,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__8,11,16,0.441418,0.602312,False
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__8,1,13,0.001831,0.004353,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__8,2,1,1.0,1.0,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__8,8,2,0.109375,0.177929,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__8,0,0,1.0,1.0,False
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__9,11,16,0.441418,0.602312,False
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__9,1,13,0.001831,0.004353,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__9,2,1,1.0,1.0,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__9,8,2,0.109375,0.177929,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF100-AIF0__9,0,0,1.0,1.0,False
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF33-AIF67__6,31,101,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF33-AIF67__6,2,13,0.007385,0.015386,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF33-AIF67__6,17,0,1.5e-05,4.9e-05,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF33-AIF67__6,12,6,0.237885,0.35414,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF33-AIF67__6,0,82,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF50-AIF50__7,15,104,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF50-AIF50__7,3,17,0.002577,0.005962,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF50-AIF50__7,2,2,1.0,1.0,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF50-AIF50__7,10,4,0.179565,0.27542,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR50-AIR50-HF50-AIF50__7,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF0-AIF100__4,65,102,0.00534,0.011627,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF0-AIF100__4,0,19,4e-06,1.4e-05,True
